animal_id,tissue,stim,conc_µg_ml,ifng_pg_ml,dose_µg,stim_id,adjusted_ifng,log_adj_ifng
a|7,ln,CMP1,1.0,1885.56136094,0,CMP1|1.0,1808.4767039045,3.257312918720592
a|8,ln,CMP2,0.1,3632.63674061,0,CMP2|0.1,3532.6295832952997,3.5480981015263726
a|8,ln,CMP2,1.0,9957.68385278,0,CMP2|1.0,9857.6766954653,3.9937745703942897
a|8,ln,CMP2,10.0,21995.5309732,0,CMP2|10.0,21895.5238158853,4.340355339463167
a|8,ln,CMP1,0.1,500.473306523,0,CMP1|0.1,400.4661492083,2.602565811722725
a|8,ln,CMP1,1.0,2012.04964265,0,CMP1|1.0,1912.0424853353,3.281497538014187
a|8,ln,CMP1,10.0,2829.83043261,0,CMP1|10.0,2729.8232752953,3.4361345323710224
a|7,ln,CMP2,0.1,3714.28112128,0,CMP2|0.1,3637.1964642445,3.5607667602333906
a|7,ln,CMP2,1.0,8076.991327590001,0,CMP2|1.0,7999.906670554501,3.9030849204044924
a|7,ln,CMP2,10.0,19628.8340429,0,CMP2|10.0,19551.749385864503,4.291185621815647
a|5,ln,CMP1,1.0,271.71017973,0,CMP1|1.0,238.02175415099998,2.3766166514934235
a|7,ln,CMP1,0.1,631.168764755,0,CMP1|0.1,554.0841077195,2.743575693872761
a|5,ln,CMP1,0.1,183.58871204,0,CMP1|0.1,149.90028646099998,2.1758024627903256
a|6,ln,CMP2,0.1,3098.2597976300003,0,CMP2|0.1,3060.3511398979003,3.485771259609358
a|6,ln,CMP2,1.0,8974.55303046,0,CMP2|1.0,8936.6443727279,3.95117447584509
a|6,ln,CMP2,10.0,13629.946503100002,0,CMP2|10.0,13592.037845367902,4.13328457510257
a|6,ln,CMP1,0.1,830.3509640350001,0,CMP1|0.1,792.4423063029001,2.898967653266608
a|6,ln,CMP1,1.0,1718.4810872,0,CMP1|1.0,1680.5724294679,3.2254572344730867
a|6,ln,CMP1,10.0,2576.5169943,0,CMP1|10.0,2538.6083365679,3.4045957019024007
a|5,ln,CMP2,0.1,1056.63784146,0,CMP2|0.1,1022.9494158809999,3.009854158690747
a|5,ln,CMP2,1.0,2690.69378489,0,CMP2|1.0,2657.005359311,3.4243924304045743
a|7,ln,CMP1,10.0,2870.05689618,0,CMP1|10.0,2792.9722391445,3.4460666190356726
a|1,ln,CMP1,0.1,2518.15232137,0,CMP1|0.1,2396.4362445180004,3.3795658793856664
a|1,ln,CMP2,10.0,43148.8247973,0,CMP2|10.0,43027.108720448006,4.633742163908666
a|1,sp,CMP1,10.0,24072.645,0,CMP1|10.0,24009.094,4.3803757719593825
a|4,ln,CMP2,0.1,4787.134008630001,0,CMP2|0.1,4763.858130893501,3.6779588195849797
a|4,ln,CMP2,1.0,8069.01084227,0,CMP2|1.0,8045.7349645335,3.905565722327163
a|4,ln,CMP2,10.0,20908.086699000003,0,CMP2|10.0,20884.8108212635,4.319830545693864
a|4,ln,CMP1,0.1,1185.2229909900002,0,CMP1|0.1,1161.9471132535002,3.0651863613203414
a|4,ln,CMP1,1.0,673.139172413,0,CMP1|1.0,649.8632946765,2.812822008009342
