group;animal_id;tissue;stim;conc_µg_ml;ifng_pg_ml
e;5;ln;CMP1;1.0;652.42536967
e;9;ln;CMP1;10.0;679.4160104380001
e;5;ln;CMP2;0.1;291.313781626
e;5;ln;PC;na;15313.0160152
e;6;ln;medium;0.0;59.0273980947
e;6;ln;CMP1;10.0;327.673635599
e;6;ln;CMP1;1.0;193.993417102
e;6;ln;CMP1;0.1;217.640166269
e;5;ln;CMP2;1.0;1803.223575
e;6;ln;CMP2;10.0;107.684059518
e;6;ln;CMP2;0.1;95.2804715557
e;6;ln;PC;na;916.74822769
e;7;ln;medium;0.0;69.53815330600001
e;7;ln;CMP1;10.0;1337.65260138
e;7;ln;CMP1;1.0;1133.61197347
e;7;ln;CMP1;0.1;286.85040259500005
e;6;ln;CMP2;1.0;90.8193080547
e;7;ln;CMP2;10.0;2584.70017023
e;7;ln;CMP2;1.0;802.946330217
e;7;ln;CMP2;0.1;690.28052295
e;5;ln;CMP2;10.0;5925.90753664
e;8;ln;medium;0.0;13.3881867262
e;8;ln;CMP1;10.0;259.303976093
e;8;ln;CMP1;1.0;160.21233921200002
e;8;ln;CMP2;10.0;1875.12615078
e;8;ln;CMP2;1.0;924.495035468
e;7;ln;PC;na;9445.09331118
e;8;ln;CMP2;0.1;411.018713335
e;9;ln;medium;0.0;67.0723652566
e;1;ln;medium;0.0;178.89753511900005
e;9;ln;CMP1;1.0;201.845397253
e;9;ln;CMP1;0.1;297.545584446
e;9;ln;CMP2;10.0;3810.78761091
e;9;ln;CMP2;1.0;2013.61372958
e;8;ln;PC;na;10466.3297869
e;9;sp;PC;na;2980.6429327
e;9;ln;PC;na;16972.286419400003
