group;animal_id;tissue;stim;conc_µg_ml;ifng_pg_ml
a;2;sp;CMP2;10.0;79684.91269730001
a;2;sp;CMP2;1.0;81731.34907020001
a;2;sp;CMP1;10.0;10948.488
b;7;ln;CMP1;0.1;594.4114675659999
b;7;ln;CMP2;10.0;51059.3329679
b;7;ln;CMP2;1.0;22469.5047239
b;7;ln;CMP2;0.1;5221.18027592
b;7;ln;PC;na;13362.371300600002
b;8;ln;medium;0.0;35.8223299021
b;8;ln;CMP1;1.0;2341.04200239
b;8;ln;CMP1;0.1;888.684232265
b;8;ln;CMP2;10.0;19914.1693809
b;8;ln;CMP2;1.0;5946.4840135
b;1;ln;medium;0.0;12.3076048064
b;7;ln;CMP1;1.0;1929.06997925
b;8;ln;CMP1;10.0;3894.82555914
b;7;ln;medium;0.0;27.9648984452
b;1;ln;CMP1;10.0;3625.22428381
b;6;ln;PC;na;7721.2395627
b;6;ln;CMP2;0.1;224.905825203
b;6;ln;CMP2;10.0;1716.93620977
b;6;ln;CMP1;0.1;77.9861196893
b;6;ln;CMP1;1.0;118.9312469
b;6;ln;CMP1;10.0;313.242791862
b;6;ln;medium;0.0;29.5662131493
b;5;ln;PC;na;na
b;5;ln;CMP2;0.1;na
b;5;ln;CMP2;1.0;na
b;5;ln;CMP2;10.0;na
b;5;ln;CMP1;0.1;na
b;5;ln;CMP1;1.0;na
b;7;ln;CMP1;10.0;2849.35292489
b;5;ln;CMP1;10.0;na
b;5;ln;medium;0.0;na
b;3;ln;PC;na;28069.3576668
b;1;ln;CMP1;0.1;438.767729198
b;5;sp;CMP1;10.0;153.11229665599998
b;3;ln;CMP1;0.1;2472.3190476500004
b;3;ln;CMP2;10.0;139476.39795800002
b;3;ln;CMP2;1.0;75142.5111084
b;3;ln;CMP2;0.1;12993.2042729
b;4;ln;CMP2;1.0;9042.88639977
b;4;ln;medium;0.0;74.25672318000001
b;4;ln;CMP1;10.0;5164.90341299
b;4;ln;CMP1;1.0;2108.64814527
b;4;ln;CMP1;0.1;1227.72053864
b;4;ln;CMP2;10.0;21982.8501282
b;3;ln;CMP1;10.0;9998.87870381
b;4;ln;CMP2;0.1;3201.7480990000004
b;3;ln;CMP1;1.0;7908.92619669
b;2;ln;CMP1;0.1;191.693014175
b;3;ln;medium;0.0;42.636733198
b;2;ln;PC;na;20948.3786819
b;2;ln;CMP2;0.1;4523.52783491
b;2;ln;CMP2;1.0;9167.75473044
b;2;ln;CMP2;10.0;21726.0473867
b;2;ln;CMP1;1.0;719.168124915
b;2;ln;CMP1;10.0;1343.36502258
b;2;ln;medium;0.0;27.081406634000004
b;1;ln;PC;na;9658.02612376
b;1;ln;CMP2;0.1;1017.219966721
b;1;ln;CMP2;1.0;3403.75129524
b;1;ln;CMP2;10.0;17547.4719871
b;4;ln;PC;na;17824.6184337
b;1;ln;CMP1;1.0;813.748604258
b;6;ln;CMP2;1.0;1144.39740423
b;8;sp;PC;na;9732.35159429
b;5;sp;medium;0.0;22.3883506634
b;4;sp;CMP2;1.0;8565.93897624
b;8;sp;CMP2;10.0;18249.160754
b;8;sp;CMP1;0.1;945.440562358
b;8;sp;CMP1;1.0;2401.97893449
b;8;sp;CMP1;10.0;3530.13403697
b;8;sp;medium;0.0;94.8816696667
b;7;sp;PC;na;7454.39078933
b;7;sp;CMP2;0.1;10651.7527147
b;7;sp;CMP2;1.0;24830.561209400003
b;7;sp;CMP2;10.0;37393.2163668
b;7;sp;CMP1;0.1;887.081273032
b;7;sp;CMP1;1.0;1991.87255962
b;7;sp;CMP1;10.0;4519.93699226
b;6;sp;PC;na;7861.11016885
b;8;ln;PC;na;15626.026073
b;6;sp;CMP2;0.1;2148.93298203
b;6;sp;CMP2;1.0;5742.942768729999
b;6;sp;CMP2;10.0;9806.841401320002
b;6;sp;CMP1;0.1;867.1038310910001
b;6;sp;CMP1;1.0;1599.33384312
b;6;sp;CMP1;10.0;2493.03775103
b;6;sp;medium;0.0;59.2077403312
b;5;sp;PC;na;322.029227256
b;5;sp;CMP2;0.1;98.6843673826
b;5;sp;CMP2;1.0;230.043755457
b;5;sp;CMP2;10.0;599.739010726
b;5;sp;CMP1;0.1;116.855658159
b;5;sp;CMP1;1.0;130.677539013
b;8;ln;CMP2;0.1;2419.43838106
b;8;sp;CMP2;0.1;3132.66942169
b;8;sp;CMP2;1.0;5135.86775316
b;7;sp;medium;0.0;57.057046833
b;1;sp;medium;0.0;61.1875137857
b;4;sp;PC;na;6943.41084843
b;4;sp;CMP1;0.1;1499.6929986
b;4;sp;CMP1;1.0;2537.7903734700003
b;4;sp;CMP1;10.0;5711.68319161
b;4;sp;medium;0.0;58.2352605267
b;3;sp;PC;na;7626.753496349999
b;3;sp;CMP2;0.1;10559.4009268
b;3;sp;CMP2;1.0;21596.5902917
b;3;sp;CMP2;10.0;38292.125187100006
b;3;sp;CMP1;0.1;962.712859782
b;3;sp;CMP1;1.0;3827.13573177
b;3;sp;CMP1;10.0;6515.46085244
b;3;sp;medium;0.0;15.0755400495
b;2;sp;PC;na;4976.57070841
b;2;sp;CMP2;0.1;2982.01430457
b;4;sp;CMP2;10.0;29665.7659041
b;2;sp;CMP2;10.0;23680.5943078
b;4;sp;CMP2;0.1;4491.90381907
b;1;sp;CMP1;10.0;5841.97990862
b;1;sp;CMP1;1.0;2761.23816971
b;2;sp;CMP2;1.0;9419.0366431
b;1;sp;CMP2;10.0;28319.933347600003
b;1;sp;CMP2;1.0;9411.673388370002
b;1;sp;CMP1;0.1;819.4489904229999
b;1;sp;PC;na;2428.00541945
b;2;sp;medium;0.0;55.5047461518
b;2;sp;CMP1;10.0;3475.29468942
b;2;sp;CMP1;1.0;2774.13958612
b;2;sp;CMP1;0.1;946.379959541
b;1;sp;CMP2;0.1;2774.24683178
c;2;sp;CMP1;1.0;3955.17467951
c;2;sp;CMP1;10.0;6692.508804919999
c;2;sp;medium;0.0;20.3142497574
c;1;sp;PC;na;477.676171087
c;1;sp;CMP2;0.1;599.045940515
c;4;sp;CMP2;1.0;19670.0487307
c;1;sp;CMP2;10.0;3940.37301198
c;1;sp;CMP1;0.1;562.7205479730001
c;1;sp;CMP1;1.0;1152.82925924
c;1;sp;CMP1;10.0;1784.77624101
c;8;sp;PC;na;1223.69882742
c;2;sp;CMP1;0.1;1918.11853721
c;1;sp;CMP2;1.0;2313.80129781
c;2;sp;CMP2;10.0;31201.8199833
c;3;sp;CMP1;0.1;529.168701115
c;2;sp;CMP2;0.1;3853.66135679
c;2;sp;PC;na;1987.62603133
c;3;sp;medium;0.0;73.0240994479
c;3;sp;CMP1;10.0;4455.71594533
c;3;sp;CMP1;1.0;1694.65325466
c;3;sp;CMP2;10.0;10824.4153124
c;3;sp;CMP2;1.0;6477.22882319
c;3;sp;PC;na;700.734929117
c;4;sp;medium;0.0;56.0797099399
c;4;sp;CMP1;10.0;6682.29650839
c;4;sp;CMP1;1.0;4120.88749847
c;4;sp;CMP1;0.1;1685.53212983
c;4;sp;CMP2;0.1;4703.60966269
c;2;sp;CMP2;1.0;18268.736213
c;1;sp;medium;0.0;31.5938284146
c;7;sp;medium;0.0;27.8726366278
c;4;sp;PC;na;588.691168926
c;6;sp;CMP2;10.0;30501.653237100003
c;6;sp;CMP1;0.1;687.24362975
c;6;sp;CMP1;1.0;2589.3885685200003
c;6;sp;CMP2;1.0;8692.94318495
c;6;sp;CMP1;10.0;4132.85258205
c;6;sp;medium;0.0;37.004486168
c;5;sp;CMP1;0.1;1092.97027776
c;5;sp;PC;na;2069.04115254
c;5;sp;CMP2;0.1;2120.48127658
c;5;sp;CMP2;1.0;9314.69311007
c;5;sp;CMP2;10.0;22006.8794411
c;6;sp;PC;na;13338.8720463
c;5;sp;CMP1;1.0;3392.9183547
c;5;sp;CMP1;10.0;6202.77550008
c;6;sp;CMP2;0.1;4812.95268388
c;7;sp;CMP2;1.0;2935.9085659800003
c;4;sp;CMP2;10.0;29502.4890887
c;7;sp;CMP1;10.0;1252.67710698
c;7;sp;CMP1;1.0;579.438196268
c;7;sp;CMP1;0.1;102.7243424699
c;7;sp;CMP2;10.0;5870.97298104
c;7;sp;CMP2;0.1;795.2515924410001
c;7;sp;PC;na;1163.05205353
c;8;sp;medium;0.0;46.6006711824
c;8;sp;CMP1;10.0;5910.6577676100005
c;8;sp;CMP1;1.0;3519.32529422
c;8;sp;CMP1;0.1;1536.47156601
c;8;sp;CMP2;10.0;23921.3315316
c;8;sp;CMP2;1.0;9182.38535102
c;5;sp;medium;0.0;24.5873960902
c;8;sp;CMP2;0.1;3582.02286712
c;3;sp;CMP2;0.1;1754.99531129
c;1;ln;medium;0.0;48.2965173707
c;3;ln;medium;0.0;98.1343408833
c;4;ln;PC;na;11100.4354128
c;1;ln;CMP1;0.1;294.35702436400004
c;1;ln;CMP2;10.0;2705.65838194
c;1;ln;CMP2;1.0;904.733863554
c;1;ln;CMP2;0.1;166.621562725
c;2;ln;medium;0.0;6.45028110005
c;2;ln;CMP1;10.0;9915.80882786
c;2;ln;CMP1;1.0;5726.4265601100005
c;2;ln;CMP1;0.1;1772.36015133
c;2;ln;CMP2;10.0;40545.7550828
c;2;ln;CMP2;1.0;23070.2944024
c;2;ln;CMP2;0.1;5365.614668900001
c;2;ln;PC;na;9698.62404241
c;1;ln;CMP1;1.0;226.392162068
c;3;ln;CMP1;10.0;3443.2538047700004
c;4;ln;CMP1;10.0;3953.23657898
c;3;ln;CMP1;1.0;1850.71375616
c;4;ln;CMP2;0.1;4034.99211519
c;4;ln;CMP2;1.0;20461.061961
c;4;ln;CMP2;10.0;31299.9475271
c;4;ln;CMP1;0.1;950.51323964
c;4;ln;CMP1;1.0;2209.21483516
c;4;ln;medium;0.0;70.38003523900001
c;3;ln;PC;na;11856.9285845
c;3;ln;CMP2;0.1;2452.44786947
c;3;ln;CMP2;1.0;6795.1893051
c;3;ln;CMP2;10.0;10695.3189749
c;1;ln;PC;na;1811.76554834
c;5;ln;medium;0.0;6.82204639236
c;8;ln;PC;na;4390.15553996
c;3;ln;CMP1;0.1;764.1788396050001
c;1;ln;CMP1;10.0;476.682465506
c;5;ln;CMP1;1.0;434.379401117
c;5;ln;CMP1;10.0;826.343055948
c;5;ln;CMP1;0.1;254.25175183
c;5;ln;CMP2;10.0;5614.99011027
c;5;ln;CMP2;1.0;1930.70553273
c;5;ln;CMP2;0.1;469.269317267
c;5;ln;PC;na;5552.14156203
c;6;ln;medium;0.0;26.2137851555
c;6;ln;CMP1;10.0;2401.63454781
c;6;ln;CMP1;0.1;244.989480847
c;6;ln;CMP2;10.0;28819.6625367
c;6;ln;CMP2;1.0;9367.26618776
c;6;ln;CMP2;0.1;3033.52855359
c;6;ln;PC;na;24521.9943038
c;6;ln;CMP1;1.0;1119.06103369
c;7;ln;CMP1;10.0;1772.73900902
c;8;ln;CMP2;0.1;2862.32477888
c;8;ln;CMP2;1.0;5646.94451612
c;7;ln;medium;0.0;71.0384543445
c;8;ln;CMP1;0.1;820.53581748
c;8;ln;CMP1;1.0;1805.56781483
c;8;ln;CMP1;10.0;3255.95372154
c;8;ln;medium;0.0;59.1964483176
c;8;ln;CMP2;10.0;17736.1099363
c;7;ln;PC;na;7836.02363099
c;7;ln;CMP2;0.1;995.291105217
c;7;ln;CMP1;1.0;670.6200869930001
c;7;ln;CMP2;1.0;4667.41401039
c;7;ln;CMP2;10.0;8473.669768590002
c;7;ln;CMP1;0.1;347.912558799
d;2;sp;CMP1;10.0;5819.41384565
d;2;sp;medium;0.0;72.97805234
d;1;sp;PC;na;410.76027655
d;1;sp;CMP2;0.1;717.362299354
d;1;sp;CMP2;1.0;3901.17736932
d;1;sp;CMP1;0.1;265.249845042
d;8;sp;PC;na;575.2761835980001
d;1;sp;CMP1;1.0;1114.04344431
d;1;sp;CMP1;10.0;1810.96789574
d;1;sp;medium;0.0;16.684115233900002
d;2;sp;CMP1;1.0;3730.31779692
d;1;sp;CMP2;10.0;7899.96122501
d;2;sp;CMP1;0.1;1863.5316406
d;4;sp;CMP1;1.0;348.360659887
d;2;sp;CMP2;1.0;8664.73864036
d;2;sp;PC;na;4893.0111354400005
d;3;sp;medium;0.0;73.8552177264
d;3;sp;CMP1;10.0;3004.0291970300004
d;3;sp;CMP1;1.0;1441.8183327200002
d;3;sp;CMP1;0.1;382.629412907
d;3;sp;CMP2;10.0;7667.62364297
d;3;sp;CMP2;1.0;3014.23586873
d;3;sp;CMP2;0.1;942.686504789
d;3;sp;PC;na;3015.4724033
d;4;sp;medium;0.0;44.117226667
d;4;sp;CMP1;10.0;826.135720965
d;4;sp;CMP2;1.0;1323.9481598900002
d;4;sp;CMP1;0.1;251.337356118
d;2;sp;CMP2;10.0;20853.6620655
d;4;sp;CMP2;0.1;220.370453395
d;7;sp;medium;0.0;23.5798819893
d;5;sp;medium;0.0;114.763182568
d;6;sp;medium;0.0;31.901405799200003
d;4;sp;CMP2;10.0;3828.10356715
d;6;sp;CMP2;1.0;3157.41660854
d;6;sp;CMP2;10.0;6333.44244132
d;6;sp;CMP1;0.1;711.287777122
d;6;sp;CMP1;1.0;1866.59914025
d;6;sp;CMP1;10.0;2786.6238195700003
d;5;sp;CMP2;0.1;2909.12440375
d;5;sp;PC;na;15551.1733465
d;5;sp;CMP2;1.0;8585.135225290001
d;5;sp;CMP2;10.0;22246.3206365
d;5;sp;CMP1;0.1;1957.12852134
d;5;sp;CMP1;1.0;3993.56368282
d;5;sp;CMP1;10.0;6390.45747229
d;6;sp;CMP2;0.1;1141.0313611400002
d;7;sp;CMP2;1.0;2581.1748479400003
d;6;sp;PC;na;2365.21570893
d;7;sp;CMP1;10.0;1060.34712072
d;7;sp;CMP1;1.0;291.19352068
d;7;sp;CMP1;0.1;93.7160545004
d;7;sp;CMP2;10.0;5017.97939156
d;7;sp;CMP2;0.1;417.072382187
d;7;sp;PC;na;1604.90898901
d;8;sp;medium;0.0;8.0443
d;8;sp;CMP1;1.0;113.847170917
d;8;sp;CMP1;0.1;28.7154214588
d;8;sp;CMP2;10.0;3493.7627109600003
d;4;sp;PC;na;871.2342778660001
d;8;sp;CMP2;1.0;746.7538717699999
d;2;sp;CMP2;0.1;2991.06964021
d;8;sp;CMP2;0.1;116.789719928
d;8;sp;CMP1;10.0;239.172380129
d;1;ln;medium;0.0;91.3445019647
d;3;ln;medium;0.0;19.595528725100003
d;1;ln;CMP1;1.0;292.769265768
d;4;ln;CMP2;0.1;50.1015034508
d;1;ln;CMP2;10.0;5606.17644662
d;1;ln;CMP2;1.0;1692.84069465
d;1;ln;CMP2;0.1;343.573238942
d;1;ln;PC;na;4480.61116172
d;2;ln;medium;0.0;122.307387904
d;2;ln;CMP1;10.0;8368.82489645
d;2;ln;CMP1;1.0;6016.94682335
d;2;ln;CMP1;0.1;2420.94239633
d;2;ln;CMP2;10.0;26652.836024900003
d;2;ln;CMP2;1.0;10179.31162975
d;2;ln;CMP2;0.1;4024.59143063
d;1;ln;CMP1;0.1;297.433040775
d;3;ln;CMP1;10.0;371.8726935
d;4;ln;medium;0.0;44.703079131
d;3;ln;CMP1;1.0;146.803053492
d;4;ln;CMP2;10.0;324.682345134
d;4;ln;CMP1;0.1;109.231283597
d;4;ln;CMP1;1.0;108.225582018
d;4;ln;CMP2;1.0;154.90020299800003
d;4;ln;CMP1;10.0;181.667191729
d;3;ln;PC;na;9230.29418598
d;3;ln;CMP2;0.1;279.067660795
d;3;ln;CMP2;1.0;599.1395075690001
d;3;ln;CMP2;10.0;2943.9487192
d;3;ln;CMP1;0.1;66.1612447975
d;5;ln;PC;na;16106.8935107
d;4;ln;PC;na;6363.25584282
d;6;ln;PC;na;13323.0358375
d;2;ln;PC;na;26981.5791267
d;8;ln;PC;na;3560.62503633
d;5;ln;medium;0.0;34.8276868872
d;5;ln;CMP1;10.0;2901.8175415200003
d;5;ln;CMP1;1.0;1382.41797316
d;5;ln;CMP1;0.1;524.069234872
d;5;ln;CMP2;10.0;6698.009358210001
d;5;ln;CMP2;1.0;3033.91434936
d;5;ln;CMP2;0.1;444.032517342
d;6;ln;medium;0.0;69.7489829039
d;6;ln;CMP1;10.0;1675.53291455
d;6;ln;CMP1;0.1;519.208736045
d;6;ln;CMP2;10.0;5434.2672661100005
d;6;ln;CMP2;1.0;4236.04522089
d;6;ln;CMP2;0.1;1275.89929643
d;7;ln;medium;0.0;56.8756384641
d;7;ln;CMP1;10.0;546.3954111510001
d;6;ln;CMP1;1.0;1404.8669817799998
d;7;ln;CMP1;1.0;656.217205902
d;1;ln;CMP1;10.0;951.035959696
d;8;ln;CMP2;0.1;227.723005395
d;8;ln;CMP2;1.0;1479.39539012
d;8;ln;CMP2;10.0;2872.44274286
d;8;ln;CMP1;0.1;266.575433412
d;8;ln;CMP1;10.0;194.132138738
d;8;ln;CMP1;1.0;159.722387885
